Category	Organism	ENSEMBL	Ab initio	This work
Arthropod	Aedes aegypti	1.15	6.17	NA
Arthropod	Apis mellifera	3.17	6.35	NA
Arthropod	Bombus impatiens	7.34	7.91	NA
Arthropod	Culex quinquefasciatus	1.07	1.17	NA
Arthropod	Drosophila ananassae	0.60	8.31	NA
Arthropod	Drosopohila erecta	0.57	3.99	NA
Arthropod	Drosophila grimshawi	0.60	1.72	NA
Arthropod	Drosophila melanogaster	0.53	3.42	NA
Arthropod	Drosophila mojavensis	0.59	2.37	NA
Arthropod	Drosophila persimilis	0.49	3.63	NA
Arthropod	Drosophila pseudoobscura	0.61	14.68	NA
Arthropod	Drosophila sechellia	0.43	5.20	NA
Arthropod	Drosophila simulans	0.45	2.24	NA
Arthropod	Drosophila virilis	0.57	3.20	NA
Arthropod	Drosophila willistoni	1.01	4.36	NA
Arthropod	Drosophila yakuba	0.53	3.03	NA
Arthropod	Heliconius melpomene	1.04	1.42	NA
Arthropod	Nasonia vitripennis	1.31	2.07	NA
Arthropod	Rhodnius prolixus	3.23	3.51	NA
Arthropod	Tribolium castaneum	0.75	0.65	NA
Nematode	Caenorhabditis brenneri	0.83	1.33	NA
Nematode	Caenorhabditis briggsae	1.10	1.17	NA
Nematode	Caenorhabditis elegans	1.10	1.18	NA
Nematode	Caenorhabditis japonica	1.05	1.19	NA
Nematode	Caenorhabditis remanei	2.44	4.22	NA
Nematode	Trichinella spiralis	0.29	0.36	NA
Tardigrade	Hypsibius dujardini	NA	2.33	0.67
Tardigrade	Ramazzottius varieornatus	NA	1.24	1.58
				
