Gene	Sample	Active	FC	Annotation	Conservation	Tun
bHd00039.1	Hdujardini	0.2592923	9.12885321134538	Other	Conserved	3.27992666666667
bHd00048.1	Hdujardini	0.186885666666667	7.44444070053459	Other	Conserved	2.13570333333333
bHd00055.1	Hdujardini	0.199877	53.3955588457934	Other	None	16.0121
bHd00056.1	Hdujardini	0.256397666666667	9.73730654802267	Other	Conserved	3.47035333333333
bHd00066.1	Hdujardini	0.0989293333333333	16.7119814741583	Other	Conserved	3.32450333333333
bHd00078.1	Hdujardini	1.02773	8.303036483319	Other	Conserved	9.36358333333333
bHd00090.1	Hdujardini	0.0484166666666667	46.1818528916339	Other	Conserved	6.85415666666667
bHd00092.1	Hdujardini	0.639526	5.33777491708653	Other	Conserved	3.94742333333333
bHd00097.1	Hdujardini	0.0802196666666667	13.2227337379013	Other	Conserved	2.38299666666667
bHd00107.1	Hdujardini	0	296.033333333333	Other	Conserved	29.6033333333333
bHd00116.1	Hdujardini	0.050209	51.9184602786784	Other	Conserved	7.79862
bHd00117.1	Hdujardini	0.139598	86.7750704652515	Other	Conserved	20.7911333333333
bHd00118.1	Hdujardini	14.0048	17.4224613843042	Other	None	245.740333333333
bHd00127.1	Hdujardini	0.376593333333333	18.1547440865028	Other	None	8.65243
bHd00129.1	Hdujardini	17.1852	9.3641573909086	Other	Conserved	161.861333333333
bHd00130.1	Hdujardini	30.7635666666667	4.51993558748341	Other	Conserved	139.501333333333
bHd00134.1	Hdujardini	3.45261666666667	13.7304522018981	Other	None	48.7790333333333
bHd00166.1	Hdujardini	0.0676386666666667	15.5647265149647	Other	Conserved	2.60925
bHd00171.1	Hdujardini	0.216209333333333	9.08591144263083	Other	None	2.87305
bHd00176.1	Hdujardini	10.4794866666667	3.33153845523696	Other	Conserved	35.2459666666667
bHd00184.1	Hdujardini	2.29313	19.2299067190945	Other	None	46.0196666666667
bHd00184.2	Hdujardini	13.7464333333333	20.3947346248011	Other	None	282.394333333333
bHd00187.1	Hdujardini	10.3411033333333	10.1853092792556	Other	None	106.345866666667
bHd00189.1	Hdujardini	0.0547513333333333	46.4516170027614	Other	None	7.18844966666667
bHd00199.1	Hdujardini	3.92612666666667	41.274574901601	Other	None	166.176666666667
bHd00222.1	Hdujardini	0.0498432	13.3534921838295	Other	None	2.00093
bHd00232.1	Hdujardini	0.0789576666666667	15.0898629657293	Other	None	2.70044666666667
bHd00236.1	Hdujardini	0	300.970666666667	Other	None	30.0970666666667
bHd00256.1	Hdujardini	0	30.4076	Other	Conserved	3.04076
bHd00259.1	Hdujardini	0.1715086	13.8483520104581	Other	Conserved	3.75994666666667
bHd00275.1	Hdujardini	0.758023333333333	13.6162186731519	Other	Conserved	11.6830333333333
bHd00291.1	Hdujardini	0.245296666666667	16.3059784340036	Other	Conserved	5.6304
bHd00296.1	Hdujardini	3.885576	296.926550474344	Other	None	1183.42333333333
bHd00304.1	Hdujardini	22.14329	6.60886946130721	Other	Conserved	147.003
bHd00311.1	Hdujardini	8.10653333333333	11.6928666590846	Other	None	95.9579
bHd00312.1	Hdujardini	0.278908666666667	39.5751218851333	Other	None	14.9953566666667
bHd00314.1	Hdujardini	0	297.064	Other	None	29.7064
bHd00314.2	Hdujardini	5.03687666666667	6.36854560780448	Other	None	32.7144333333333
bHd00316.1	Hdujardini	0	78.5118333333333	Other	Conserved	7.85118333333333
bHd00332.1	Hdujardini	0	35.2357666666667	Other	Conserved	3.52357666666667
bHd00353.1	Hdujardini	0.952720333333333	25.4865727238098	Other	None	26.8302333333333
bHd00357.1	Hdujardini	103.1806	6.24749468922528	Other	Conserved	645.245
bHd00365.1	Hdujardini	0.032643	33.2824448582536	Other	Conserved	4.41468333333333
bHd00371.1	Hdujardini	21.3286666666667	14.3210496842236	Other	None	306.881
bHd00381.1	Hdujardini	6.04079666666667	218.236613164741	Other	Conserved	1340.14666666667
