transcript_id	gene_length	exon_count	exon_span	intron_count	intron_span	transcript_id	gene_length	exon_count	exon_span	intron_count	intron_span
bHd01250.1	7561	23	3648	22	3913	RVARI.g5861.t1	6831	23	3735	22	3096
bHd08733.1	3931	9	1545	8	2386	RVARI.g2820.t1	3153	6	1719	5	1434
bHd07777.1	498	2	393	1	105	RVARI.g12798.t1	437	2	375	1	62
bHd18780.1	2674	7	1053	6	1621	RVARI.g13028.t1	1594	7	1026	6	568
bHd15800.1	1974	4	1332	3	642	RVARI.g1257.t1	1616	2	1338	1	278
bHd06761.1	2494	5	1608	4	886	RVARI.g13209.t1	1824	6	1326	5	498
bHd10203.1	994	5	576	4	418	RVARI.g13610.t1	1049	5	594	4	455
bHd10678.1	6180	13	1539	12	4641	RVARI.g10360.t1	4362	22	2292	21	2070
bHd02774.1	3250	5	1878	4	1372	RVARI.g8210.t1	2125	4	1641	3	484
bHd09761.1	2002	6	789	5	1213	RVARI.g11538.t1	1359	6	837	5	522
bHd06255.1	3201	5	1017	4	2184	RVARI.g885.t1	783	4	519	3	264
bHd16978.1	6647	7	3726	6	2921	RVARI.g13547.t1	6059	7	3675	6	2384
bHd05580.1	2467	7	1437	6	1030	RVARI.g7599.t1	2703	9	1740	8	963
bHd17437.1	3429	6	2274	5	1155	RVARI.g13894.t1	2979	4	2277	3	702
bHd15342.1	4374	13	2112	12	2262	RVARI.g6879.t1	3873	13	2031	12	1842
bHd08418.1	389	3	261	2	128	RVARI.g8569.t1	410	3	261	2	149
bHd16671.1	8216	15	3084	14	5132	RVARI.g10035.t1	6230	13	2661	12	3569
bHd03033.1	6407	9	1404	8	5003	RVARI.g5112.t1	1480	5	1113	4	367
bHd03115.1	1195	5	507	4	688	RVARI.g10835.t1	1015	4	507	3	508
bHd11032.1	4469	9	1959	8	2510	RVARI.g8552.t1	2925	7	1884	6	1041
bHd02772.1	2791	2	585	1	2206	RVARI.g8214.t1	959	3	618	2	341
bHd14953.1	417	3	264	2	153	RVARI.g7024.t1	661	4	267	3	394
bHd02993.1	1012	2	657	1	355	RVARI.g8693.t1	771	2	690	1	81
bHd08486.1	1183	6	567	5	616	RVARI.g7240.t1	4722	20	2388	19	2334
bHd14913.1	7514	17	3303	16	4211	RVARI.g6990.t1	4337	14	2997	13	1340
bHd01517.1	1123	2	405	1	718	RVARI.g5932.t1	453	2	357	1	96
bHd12929.1	1517	3	705	2	812	RVARI.g1640.t1	850	3	708	2	142
bHd06709.1	3914	6	1659	5	2255	RVARI.g12502.t1	1531	4	1011	3	520
bHd17748.1	3163	6	1713	5	1450	RVARI.g9134.t1	1861	4	1656	3	205
bHd02349.1	4078	10	1671	9	2407	RVARI.g12331.t1	2316	8	1650	7	666
bHd00251.1	17456	33	5115	32	12341	RVARI.g6394.t1	3396	9	1656	8	1740
bHd09545.1	952	4	405	3	547	RVARI.g13739.t1	743	5	432	4	311
bHd11611.1	4694	8	1881	7	2813	RVARI.g12055.t1	2788	8	1872	7	916
bHd13719.1	1260	3	693	2	567	RVARI.g8885.t1	2956	9	1887	8	1069
bHd05962.1	1038	1	1038	0	0	RVARI.g9717.t1	1349	3	942	2	407
bHd17368.1	3201	9	1869	8	1332	RVARI.g2372.t1	3669	7	1908	6	1761
bHd06488.1	1662	6	789	5	873	RVARI.g5973.t1	1546	6	795	5	751
bHd08363.1	1500	4	1044	3	456	RVARI.g9286.t1	909	3	783	2	126
bHd19388.1	11537	10	3567	9	7970	RVARI.g6721.t1	5354	9	3486	8	1868
bHd01051.1	2223	7	969	6	1254	RVARI.g1128.t1	1400	6	981	5	419
bHd00067.1	4007	14	1941	13	2066	RVARI.g6120.t1	2215	9	1317	8	898
bHd05593.1	3381	8	984	7	2397	RVARI.g3088.t1	1863	7	930	6	933
bHd07080.1	1648	2	957	1	691	RVARI.g9530.t1	1214	3	960	2	254
bHd06657.1	1854	3	540	2	1314	RVARI.g11994.t1	1035	3	570	2	465
bHd08296.1	3484	13	1554	12	1930	RVARI.g10551.t1	2701	14	1524	13	1177
bHd14598.1	2288	8	1077	7	1211	RVARI.g7339.t1	2381	11	1212	10	1169
bHd08805.1	3632	9	1347	8	2285	RVARI.g9469.t1	2179	8	1350	7	829
bHd19754.1	5838	13	2484	12	3354	RVARI.g5556.t1	8302	14	2175	13	6127
bHd18723.2	2794	8	1302	7	1492	RVARI.g11200.t1	1866	8	1269	7	597
bHd03891.1	1558	3	1245	2	313	RVARI.g608.t1	1450	3	1206	2	244
bHd01550.1	3182	5	1782	4	1400	RVARI.g10350.t1	3963	7	2169	6	1794
bHd10696.1	2372	5	936	4	1436	RVARI.g3529.t1	1278	5	891	4	387
bHd03633.1	6795	7	1926	6	4869	RVARI.g5180.t1	4016	7	1974	6	2042
bHd07629.1	2323	5	747	4	1576	RVARI.g2484.t1	1026	5	765	4	261
bHd01310.1	2633	7	1290	6	1343	RVARI.g10509.t1	1836	9	1296	8	540
bHd18031.2	2547	8	1425	7	1122	RVARI.g8672.t1	1873	9	1209	8	664
bHd16893.1	5385	7	2481	6	2904	RVARI.g3248.t1	3476	7	2013	6	1463
bHd15396.1	1997	5	1050	4	947	RVARI.g2766.t1	1062	2	948	1	114
bHd13768.1	2535	6	1158	5	1377	RVARI.g3691.t1	2782	9	1440	8	1342
bHd05037.1	1885	2	705	1	1180	RVARI.g12981.t1	764	2	678	1	86
bHd06971.1	2377	4	993	3	1384	RVARI.g1188.t1	1101	4	861	3	240
bHd10499.1	1745	4	714	3	1031	RVARI.g9202.t1	1004	4	726	3	278
bHd14667.1	2509	3	822	2	1687	RVARI.g7392.t1	2492	3	921	2	1571
bHd05143.1	3207	3	837	2	2370	RVARI.g1906.t1	1781	3	834	2	947
bHd15693.1	7309	16	2616	15	4693	RVARI.g3048.t1	9164	21	4278	20	4886
bHd08253.1	5242	17	1314	16	3928	RVARI.g6970.t1	5215	23	2031	22	3184
bHd18001.1	9185	16	2814	15	6371	RVARI.g3626.t1	830	4	528	3	302
bHd04836.1	9411	19	3636	18	5775	RVARI.g998.t1	8234	16	3993	15	4241
bHd19399.1	1759	8	621	7	1138	RVARI.g6732.t1	1702	7	549	6	1153
bHd04234.1	2825	6	2466	5	359	RVARI.g4778.t1	3863	4	3369	3	494
bHd11645.1	3218	5	1653	4	1565	RVARI.g6810.t1	1924	5	1605	4	319
bHd12414.1	2546	7	1011	6	1535	RVARI.g485.t1	1509	8	1023	7	486
bHd02024.1	5308	8	3105	7	2203	RVARI.g10422.t1	4541	6	3183	5	1358
bHd10533.1	729	2	588	1	141	RVARI.g9430.t1	934	3	663	2	271
bHd18019.1	3472	7	1002	6	2470	RVARI.g3603.t1	3127	8	1362	7	1765
bHd01378.1	8450	16	5082	15	3368	RVARI.g784.t2	6807	14	4749	13	2058
bHd09753.1	1970	4	1044	3	926	RVARI.g11527.t1	1234	3	1113	2	121
bHd19703.1	2930	3	1377	2	1553	RVARI.g3410.t1	1732	3	1146	2	586
bHd09021.1	5533	7	3156	6	2377	RVARI.g12374.t1	4571	7	3126	6	1445
bHd06412.1	2685	5	1029	4	1656	RVARI.g10987.t1	1129	2	978	1	151
bHd01121.1	4503	11	1407	10	3096	RVARI.g11918.t1	2453	9	1299	8	1154
bHd19611.1	1361	4	621	3	740	RVARI.g10345.t1	829	3	534	2	295
bHd16255.1	2482	6	819	5	1663	RVARI.g10932.t1	987	5	579	4	408
bHd03067.1	1115	4	546	3	569	RVARI.g6613.t1	829	4	540	3	289
bHd15130.1	2581	7	780	6	1801	RVARI.g1996.t1	1727	7	819	6	908
bHd16858.1	3596	4	1737	3	1859	RVARI.g3250.t1	2348	5	1476	4	872
bHd04339.1	4297	3	600	2	3697	RVARI.g12224.t1	606	1	606	0	0
bHd18147.1	2535	6	1713	5	822	RVARI.g5737.t1	2718	5	1686	4	1032
bHd14665.1	6126	11	2727	10	3399	RVARI.g7395.t1	1416	3	1152	2	264
bHd16346.1	1301	5	594	4	707	RVARI.g3970.t1	889	3	726	2	163
bHd19719.1	1790	2	861	1	929	RVARI.g3206.t1	897	1	897	0	0
bHd05715.1	1157	5	561	4	596	RVARI.g12584.t1	2144	6	936	5	1208
bHd09712.1	297	1	297	0	0	RVARI.g6528.t1	273	1	273	0	0
bHd02912.1	1203	5	657	4	546	RVARI.g12894.t1	993	6	585	5	408
bHd17713.1	1835	4	1059	3	776	RVARI.g9162.t1	1306	4	837	3	469
bHd05448.1	300	1	300	0	0	RVARI.g2272.t1	288	1	288	0	0
bHd17347.1	1790	4	1011	3	779	RVARI.g2387.t1	1436	4	1011	3	425
bHd17921.1	468	2	378	1	90	RVARI.g2745.t1	573	2	372	1	201
bHd16857.1	24818	35	6978	34	17840	RVARI.g3251.t2	16551	33	6540	32	10011
bHd07574.1	4325	10	2811	9	1514	RVARI.g2519.t1	3743	9	2721	8	1022
bHd06517.1	9555	16	4716	15	4839	RVARI.g9782.t1	10275	18	6291	17	3984
bHd06022.1	4500	10	1554	9	2946	RVARI.g9765.t1	2167	7	1587	6	580
bHd06525.1	1684	2	1440	1	244	RVARI.g68.t1	2267	3	1425	2	842
bHd17068.1	3351	9	1377	8	1974	RVARI.g9914.t1	2042	10	1413	9	629
bHd10889.1	3080	4	1347	3	1733	RVARI.g11584.t1	1623	2	1368	1	255
bHd05951.1	1285	3	864	2	421	RVARI.g4859.t1	998	3	861	2	137
bHd08546.1	1924	5	441	4	1483	RVARI.g6158.t1	658	3	360	2	298
bHd12758.1	10195	14	5430	13	4765	RVARI.g7922.t1	6871	11	4827	10	2044
bHd05700.1	1624	4	1326	3	298	RVARI.g7928.t1	1540	4	1215	3	325
bHd08736.1	5722	10	1635	9	4087	RVARI.g2831.t1	1648	6	1281	5	367
bHd18678.1	4711	9	1131	8	3580	RVARI.g11189.t1	937	4	651	3	286
bHd07097.1	6699	18	2658	17	4041	RVARI.g9505.t1	4372	15	2529	14	1843
bHd08426.1	17620	15	6792	14	10828	RVARI.g9912.t1	10377	16	7119	15	3258
bHd11765.1	3779	11	2136	10	1643	RVARI.g6797.t1	3494	11	2166	10	1328
bHd07587.1	1422	5	699	4	723	RVARI.g2534.t1	1073	5	690	4	383
bHd11657.1	4016	11	1449	10	2567	RVARI.g6078.t1	2535	10	1479	9	1056
bHd19776.1	2597	10	1008	9	1589	RVARI.g4376.t1	2813	8	1014	7	1799
bHd04827.1	3333	9	1689	8	1644	RVARI.g1541.t1	2783	8	1728	7	1055
bHd10455.1	1211	4	810	3	401	RVARI.g9406.t1	3110	10	1698	9	1412
bHd01761.1	1233	3	681	2	552	RVARI.g10530.t1	915	3	651	2	264
bHd10385.1	19699	29	9546	28	10153	RVARI.g9916.t1	12928	26	9693	25	3235
bHd14683.1	2932	8	1809	7	1123	RVARI.g7444.t1	2200	9	1530	8	670
bHd07580.1	7828	22	2991	21	4837	RVARI.g2516.t2	8906	27	4656	26	4250
bHd11010.1	3876	7	2478	6	1398	RVARI.g11080.t1	2549	5	2085	4	464
bHd07420.1	8023	14	3114	13	4909	RVARI.g11715.t1	3055	9	1938	8	1117
bHd14868.1	9755	9	2175	8	7580	RVARI.g6957.t1	4674	9	2187	8	2487
